Survey;z;fsig8;fsig8_err_plus;fsig8_err_minus;omega_m0
ALFALFA;0.013;0.46;0.06;0.06;0.315
2MASS;0.02;0.314;0.048;0.048;0.266
SnIa+IRAS;0.02;0.398;0.065;0.065;0.3
6dFGS+SnIa;0.02;0.428;0.048;0.045;0.3
2MTF+6dFGSv;0.02;0.404;0.082;0.081;0.312
2dFGRS;0.17;0.510;0.060;0.060;0.3
GAMA;0.18;0.36;0.09;0.09;0.27
eBOSS;0.15;0.53;0.16;0.16;0.311
GAMA;0.38;0.44;0.06;0.06;0.27
eBOSS;0.38;0.500;0.047;0.047;0.311
WiggleZ;0.44;0.413;0.080;0.080;0.27
eBOSS;0.51;0.455;0.039;0.039;0.311
VIPERS PDR2;0.6;0.55;0.12;0.12;0.3
WiggleZ;0.60;0.390;0.063;0.063;0.27
WiggleZ;0.73;0.437;0.072;0.072;0.27
eBOSS;0.70;0.445;0.039;0.039;0.311
eBOSS;0.85;0.315;0.095;0.031;0.311
VIPERS PDR2;0.86;0.40;0.11;0.11;0.3
FastSound;1.4;0.482;0.116;0.116;0.27
eBOSS;1.48;0.462;0.045;0.031;0.311
